Identity,Name,ImageURL,Category,Brand,Price,Original_Price,Discount_Pct,Rating,Tags
E001,Samsung Galaxy M14 5G — 4GB/64GB Blue,https://placehold.co/150x150/0d47a1/ffffff?text=Samsung%0AGalaxy+M14&font=poppins,Electronics,Samsung,10999,14999,27,4.2,assured
E002,Apple iPhone 13 — 128GB Midnight,https://placehold.co/150x150/0d47a1/ffffff?text=Apple%0AiPhone+13&font=poppins,Electronics,Apple,49999,79900,37,4.7,assured
E003,OnePlus Nord CE3 Lite 5G — 8GB/128GB Pastel Lime,https://placehold.co/150x150/0d47a1/ffffff?text=OnePlus%0ANord+CE3&font=poppins,Electronics,OnePlus,17999,19999,10,4.3,new
E004,boAt Rockerz 450 Bluetooth Wireless Headphone,https://placehold.co/150x150/0d47a1/ffffff?text=boAt%0ARockerz+450&font=poppins,Electronics,boAt,999,3990,75,4.1,bestseller
E005,MI 10000mAh Lithium Polymer Power Bank,https://placehold.co/150x150/0d47a1/ffffff?text=MI%0APower+Bank&font=poppins,Electronics,Xiaomi,849,1499,43,4.3,bestseller
E006,"Samsung 55"" Crystal 4K UHD Smart TV",https://placehold.co/150x150/0d47a1/ffffff?text=Samsung%0A55%22+4K+TV&font=poppins,Electronics,Samsung,42990,74900,43,4.4,assured
E007,Canon EOS 1500D 24.1MP DSLR Camera,https://placehold.co/150x150/0d47a1/ffffff?text=Canon%0AEOS+1500D&font=poppins,Electronics,Canon,34990,44995,22,4.6,assured
E008,HP 15s Core i5 12th Gen Laptop — 8GB/512GB SSD,https://placehold.co/150x150/0d47a1/ffffff?text=HP%0A15s+Laptop&font=poppins,Electronics,HP,49990,67000,25,4.4,assured
E009,Logitech MK215 Wireless Keyboard and Mouse Combo,https://placehold.co/150x150/0d47a1/ffffff?text=Logitech%0AMK215&font=poppins,Electronics,Logitech,999,1795,44,4.3,bestseller
E010,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,https://placehold.co/150x150/0d47a1/ffffff?text=Sony%0AWH-1000XM5&font=poppins,Electronics,Sony,24990,34990,29,4.7,assured
E011,Apple AirPods Pro (2nd Gen) with MagSafe Case,https://placehold.co/150x150/0d47a1/ffffff?text=Apple%0AAirPods+Pro&font=poppins,Electronics,Apple,19900,26900,26,4.7,assured
E012,Samsung 970 EVO Plus 500GB NVMe M.2 SSD,https://placehold.co/150x150/0d47a1/ffffff?text=Samsung%0A970+EVO+SSD&font=poppins,Electronics,Samsung,4999,8999,44,4.6,assured
E013,GoPro HERO11 Black Action Camera,https://placehold.co/150x150/0d47a1/ffffff?text=GoPro%0AHERO11&font=poppins,Electronics,GoPro,34990,44990,22,4.5,new
